#disease-db	disease-identifier	disease-name	negation	HPO-ID	reference	evidence-code	onset	frequencyHPO	modifier	sub-ontology	alt-names	curators	frequencyRaw	sex
DECIPHER	1	Wolf-Hirschhorn Syndrome		HP:0000252	DECIPHER:1	IEA			 	P	WOLF-HIRSCHHORN SYNDROME	HPO:skoehler[2013-05-29]	
DECIPHER	1	Wolf-Hirschhorn Syndrome		HP:0001249	DECIPHER:1	IEA			 	P	WOLF-HIRSCHHORN SYNDROME	HPO:skoehler[2013-05-29]	
DECIPHER	1	Wolf-Hirschhorn Syndrome		HP:0001250	DECIPHER:1	IEA			 	P	WOLF-HIRSCHHORN SYNDROME	HPO:skoehler[2013-05-29]	
DECIPHER	1	Wolf-Hirschhorn Syndrome		HP:0001252	DECIPHER:1	IEA			 	P	WOLF-HIRSCHHORN SYNDROME	HPO:skoehler[2013-05-29]	
DECIPHER	1	Wolf-Hirschhorn Syndrome		HP:0001518	DECIPHER:1	IEA			 	P	WOLF-HIRSCHHORN SYNDROME	HPO:skoehler[2013-05-29]	
DECIPHER	14	Prader-Willi syndrome (Type 1)		HP:0000135	DECIPHER:14	IEA			 	P	PRADER-WILLI SYNDROME (TYPE 1)	HPO:skoehler[2013-05-29]	
DECIPHER	14	Prader-Willi syndrome (Type 1)		HP:0001249	DECIPHER:14	IEA			 	P	PRADER-WILLI SYNDROME (TYPE 1)	HPO:skoehler[2013-05-29]	
DECIPHER	14	Prader-Willi syndrome (Type 1)		HP:0001252	DECIPHER:14	IEA			 	P	PRADER-WILLI SYNDROME (TYPE 1)	HPO:skoehler[2013-05-29]	
DECIPHER	14	Prader-Willi syndrome (Type 1)		HP:0001956	DECIPHER:14	IEA			 	P	PRADER-WILLI SYNDROME (TYPE 1)	HPO:skoehler[2013-05-29]	
DECIPHER	14	Prader-Willi syndrome (Type 1)		HP:0008872	DECIPHER:14	IEA			 	P	PRADER-WILLI SYNDROME (TYPE 1)	HPO:skoehler[2013-05-29]	
